City_id,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
109,Hilo,US,19.7297,-155.09,82.13,61,40,6.91,scattered clouds
110,Gamba,GA,-2.65,10.0,76.37,89,100,7.18,overcast clouds
111,Houston,US,29.7633,-95.3633,84.34,75,75,7.0,broken clouds
112,Salto De Agua,MX,17.6167,-92.3667,92.98,78,53,2.93,broken clouds
113,Ahipara,NZ,-35.1667,173.1667,66.15,75,100,6.76,overcast clouds
114,Yerofey Pavlovich,RU,53.9667,121.9667,28.81,87,22,3.18,few clouds
115,Amboasary,MG,-25.0333,46.3833,75.04,59,16,5.44,few clouds
116,Shahreza,IR,32.0339,51.8794,49.8,26,0,4.07,clear sky
117,Arona,ES,28.0996,-16.681,65.32,70,20,10.36,few clouds
118,Okitipupa,NG,6.5047,4.7839,74.95,94,92,2.04,overcast clouds
119,Katsuura,JP,35.1333,140.3,61.2,75,100,10.71,overcast clouds
120,Mount Isa,AU,-20.7333,139.5,82.17,44,52,0.0,broken clouds
121,Bengkulu,ID,-3.8004,102.2655,75.43,90,100,7.81,overcast clouds
122,Olafsvik,IS,64.8945,-23.7142,42.87,80,100,28.39,overcast clouds
123,Eston,CA,51.1501,-108.7514,60.69,30,100,8.28,overcast clouds
124,Atar,MR,20.5169,-13.0499,85.28,30,54,10.78,broken clouds
125,Vieques,PR,18.425,-65.8329,87.82,48,1,6.91,haze
126,Canita,PA,9.2097,-78.8811,76.51,82,96,6.62,overcast clouds
127,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,77,75,5.01,broken clouds
128,Beringovskiy,RU,63.05,179.3167,8.26,89,100,21.79,overcast clouds
129,Tha Mai,TH,12.6214,102.0048,74.52,85,90,4.65,overcast clouds
130,Mnogovershinnyy,RU,53.9353,139.9242,31.42,81,100,2.8,overcast clouds
131,Jutai,BR,-5.1833,-68.9,77.2,83,89,3.29,overcast clouds
132,Ugoofaaru,MV,5.6667,73.0,80.87,79,63,10.74,broken clouds
133,Road Town,VG,18.4167,-64.6167,84.29,74,40,0.0,scattered clouds
134,Clyde River,CA,70.4692,-68.5914,23.32,81,100,4.54,overcast clouds
135,Cap Malheureux,MU,-19.9842,57.6142,73.47,70,1,5.01,clear sky
136,San Juan,AR,-31.5375,-68.5364,94.51,7,3,3.94,clear sky
137,Roald,NO,62.5833,6.1333,52.72,66,90,11.5,overcast clouds
138,Haifa,IL,32.8156,34.9892,65.21,79,0,9.71,clear sky
139,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,88,75,8.05,broken clouds
140,Japura,ID,-0.3167,102.35,73.13,99,100,2.46,light rain
141,Guinabsan,PH,8.8975,125.4161,74.71,94,95,3.15,overcast clouds
142,Port Angeles,US,48.1181,-123.4307,55.54,91,75,9.22,light rain
