City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
150,Makasar,ID,2021-10-20 21:30:40,-5.14,119.4221,73.45,94,20,2.3
151,Mitu,CO,2021-10-20 21:29:11,1.1983,-70.1733,76.86,89,99,2.71
152,Hofn,IS,2021-10-20 21:30:41,64.2539,-15.2082,36.63,50,5,6.69
153,Wuwei,CN,2021-10-20 21:30:41,37.9281,102.6414,38.5,50,2,1.41
154,Nanortalik,GL,2021-10-20 21:30:42,60.1432,-45.2371,37.13,72,1,1.79
155,Hauterive,FR,2021-10-20 21:30:42,46.0901,3.4459,66.96,77,100,18.34
156,Beloha,MG,2021-10-20 21:30:43,-25.1667,45.05,68.5,87,99,9.42
157,Mana,GF,2021-10-20 21:30:43,5.6592,-53.7767,81.01,80,95,9.66
158,Aswan,EG,2021-10-20 21:30:43,24.0934,32.907,79.9,27,0,17.27
159,Orcopampa,PE,2021-10-20 21:30:44,-15.2661,-72.3417,55.4,27,88,8.34
160,Poso,ID,2021-10-20 21:30:44,-1.3959,120.7524,76.46,80,96,4.36
161,Airai,TL,2021-10-20 21:30:45,-8.9266,125.4092,63.73,68,98,1.54
162,Birao,CF,2021-10-20 21:30:45,10.2849,22.7882,74.48,81,100,4.23
163,Sao Filipe,CV,2021-10-20 21:30:46,14.8961,-24.4956,82.36,59,0,8.88
164,Hami,CN,2021-10-20 21:30:46,42.8,93.45,56.39,19,100,7.45
165,Keetmanshoop,NA,2021-10-20 21:30:47,-26.5833,18.1333,74.32,46,36,18.28
166,Adrar,MR,2021-10-20 21:30:47,20.5022,-10.0711,78.31,18,4,11.79
167,Fairbanks,US,2021-10-20 21:27:13,64.8378,-147.7164,39.16,68,40,3.44
168,Norman Wells,CA,2021-10-20 21:30:48,65.282,-126.8329,37.44,60,40,13.8
169,Mehamn,NO,2021-10-20 21:30:48,71.0357,27.8492,34.27,58,100,24.02
170,Adur,IN,2021-10-20 21:30:49,9.1667,76.7333,72.77,98,100,3.53
171,Palpa,PE,2021-10-20 21:30:49,-14.5336,-75.1856,78.89,42,96,7.45
172,Cidreira,BR,2021-10-20 21:30:50,-30.1811,-50.2056,63.37,66,94,15.37
173,Sao Gabriel Da Cachoeira,BR,2021-10-20 21:30:50,-0.1303,-67.0892,80.4,83,40,6.91
174,Kishi,NG,2021-10-20 21:30:50,9.0833,3.85,72.01,91,96,4.34
175,Khatanga,RU,2021-10-20 21:30:51,71.9667,102.5,22.14,97,100,5.28
176,San Vicente,AR,2021-10-20 21:30:51,-26.6167,-54.1333,64.24,65,58,3.31
